Rubro,Monto
Seguridad Social,579900
Seguridad Social,"231,963.00"
Seguridad Social,"176,338.00"
Seguridad Social,"244,700.00"
Seguridad Social,"376,733.00"
Seguridad Social,"29,937.00"
"Servicios profesionales, científicos, técnicos y otros servicios","190,000.00"
"Servicios profesionales, científicos, técnicos y otros servicios","1,000.00"
"Servicios profesionales, científicos, técnicos y otros servicios","8,583.00"
"Servicios profesionales, científicos, técnicos y otros servicios","20,000.00"
"Servicios profesionales, científicos, técnicos y otros servicios","1,000.00"
"Servicios profesionales, científicos, técnicos y otros servicios","171,835.00"
"Servicios profesionales, científicos, técnicos y otros servicios","209,000.00"
