Año,Observaciones,Suscripciones de banda ancha fija por Cada 100 Habitantes,Suscripciones de banda ancha fija,Población
2000,Finales,0.1,111963,100895811
2001,Finales,0.1,111070,102122295
2002,Finales,0.2,231486,103417944
2003,Finales,0.4,428371,104719891
2004,Finales,1,1057282,105951569
2005,Finales,1.8,1922352,107151011
2006,Finales,2.8,3087144,108408827
2007,Finales,4.1,4564273,109787388
2008,Finales,6.7,7532924,111299015
2009,Finales,8.6,9728709,112852594
2010,Finales,10.1,11569666,114255555
2011,Preliminar,10.7,12487832,115682868
2012,Preliminar,11.3,13303892,117053750
2013,Preliminar,11.2,13336157,118395054
2014,Tercer trimestre de 2014,12,14313339,119713203
